pesquisa_id;ano;unidades_federativas_id;unidade_federativa_nome;ambito;cargos_id;cargo;tipo_id;tipo;turno;data_pesquisa;instituto_id;instituto;voto_tipo;cenario_id;cenario_descricao;candidatos_id;candidato_partido;candidato;ano_default;condicao;percentual;data_referencia;margem_mais;margem_menos;contratante;num_registro;orgao_registro;qtd_entrevistas;partidos_id;partido;cidade
9536;2002;24;"RIO GRANDE DO SUL";RS;2;Prefeito;2;Estimulada;2;2020-11-24;75;Ibope;"Votos Totais";23921;"cenário 1 - estimulado - 2º turno - votos totais";4382;"Sebastião Melo (MDB)";"Sebastião Melo";;0;49.00;22-24.nov.2020;3.00;3.00;"RBS TV";RS-03118/2020;TRE;805;3;MDB;"Porto Alegre"
9536;2002;24;"RIO GRANDE DO SUL";RS;2;Prefeito;2;Estimulada;2;2020-11-24;75;Ibope;"Votos Válidos";23920;"cenário 1 - estimulado - 2º turno - votos válidos";1003;"Manuela D'Ávila (PC do B)";"Manuela D'Ávila";;0;46.00;22-24.nov.2020;3.00;3.00;"RBS TV";RS-03118/2020;TRE;805;9;"PC do B";"Porto Alegre"
9536;2002;24;"RIO GRANDE DO SUL";RS;2;Prefeito;2;Estimulada;2;2020-11-24;75;Ibope;"Votos Totais";23921;"cenário 1 - estimulado - 2º turno - votos totais";209;"branco / nulo (N/A)";"branco / nulo";;1;5.00;22-24.nov.2020;3.00;3.00;"RBS TV";RS-03118/2020;TRE;805;1;N/A;"Porto Alegre"
9536;2002;24;"RIO GRANDE DO SUL";RS;2;Prefeito;2;Estimulada;2;2020-11-24;75;Ibope;"Votos Válidos";23920;"cenário 1 - estimulado - 2º turno - votos válidos";4382;"Sebastião Melo (MDB)";"Sebastião Melo";;0;54.00;22-24.nov.2020;3.00;3.00;"RBS TV";RS-03118/2020;TRE;805;3;MDB;"Porto Alegre"
9536;2002;24;"RIO GRANDE DO SUL";RS;2;Prefeito;2;Estimulada;2;2020-11-24;75;Ibope;"Votos Totais";23921;"cenário 1 - estimulado - 2º turno - votos totais";1003;"Manuela D'Ávila (PC do B)";"Manuela D'Ávila";;0;42.00;22-24.nov.2020;3.00;3.00;"RBS TV";RS-03118/2020;TRE;805;9;"PC do B";"Porto Alegre"
9536;2002;24;"RIO GRANDE DO SUL";RS;2;Prefeito;2;Estimulada;2;2020-11-24;75;Ibope;"Votos Totais";23921;"cenário 1 - estimulado - 2º turno - votos totais";1210;"não sabe / não respondeu (N/A)";"não sabe / não respondeu";;1;4.00;22-24.nov.2020;3.00;3.00;"RBS TV";RS-03118/2020;TRE;805;1;N/A;"Porto Alegre"
8906;2018;11;MARANHÃO;MA;4;Senador;2;Estimulada;1;2019-08-22;57;"Exata Opinião";"Votos Totais";22504;"cenário estimulado - 1º turno";5359;"Samuel Campelo (PSL)";"Samuel Campelo";;0;3.00;19-22.ago.2018;3.20;3.20;"JORNAL PEQUENO";MA-07422/2018;TRE;1401;35;PSL;
8906;2018;11;MARANHÃO;MA;4;Senador;2;Estimulada;1;2019-08-22;57;"Exata Opinião";"Votos Totais";22504;"cenário estimulado - 1º turno";1844;"Alexandre Almeida (PSDB)";"Alexandre Almeida";;0;11.00;19-22.ago.2018;3.20;3.20;"JORNAL PEQUENO";MA-07422/2018;TRE;1401;33;PSDB;
8906;2018;11;MARANHÃO;MA;4;Senador;2;Estimulada;1;2019-08-22;57;"Exata Opinião";"Votos Totais";22504;"cenário estimulado - 1º turno";209;"branco / nulo (N/A)";"branco / nulo";;1;43.00;19-22.ago.2018;3.20;3.20;"JORNAL PEQUENO";MA-07422/2018;TRE;1401;1;N/A;
8906;2018;11;MARANHÃO;MA;4;Senador;2;Estimulada;1;2019-08-22;57;"Exata Opinião";"Votos Totais";22504;"cenário estimulado - 1º turno";407;"Edison Lobão (MDB)";"Edison Lobão";2018-Senador;0;25.00;19-22.ago.2018;3.20;3.20;"JORNAL PEQUENO";MA-07422/2018;TRE;1401;3;MDB;
